,Summoner ID
97,79f3WZ8HaQiqpWPG1-Tl9f0oGf8DZoDA2MOm6nC1lP4ugEqV
98,qoey52p1MWCq5nC9c92kyGpmML0QsZV0CSed3GNnqsbi_Is0
99,MgsPJoWP0nGKn_v2Y9XVZD6y0ggCRT0nQ2e53TLHawEgtOml
100,U-LKou2STObccz6ZTqJZOvBjFl2b_WVG_ce3-mh-205NdkUl
101,XkwaXBZSkYcXvrqHar1xW27qA9lsV0WoiMWhzAR-9IsuKsCU
102,IeU82tMrIhW3qZzut3ZU1XMPsUmp67ZW3g6v4BgmJXCoAjAN
103,W6CHrPvsqnfF9RkJ6Saqofaat_TDKBL7u5KrEz2S_YdWiqQo
104,RxwzDJ2SAz0tUYXCBg4T9k6tIOgq9RTAo5PNyqw9iYnXsfUc
105,bv9iwIAfrhvKqEZZCg6TdTL-vunc360fSzkZtManvWtu-6PY
106,tZw6uyFxqiI465wpe8ghmnDYnkDI7WIJxOuVBmP7KdIFprcp
107,-XT_8BXff3ViODW_Fn6tSRjXFR9VNjHpzqTHHf-lkDmaUbQ3
108,S47dnR_0B13ym2waGDoKpSmTur1D-rV3D0J_1wVZ_Yc0MPbL
109,wLevuPTvF-gicog1IZzr8LwCMuwnNlnz9n4LUWPAO0DVHHwT
110,WTudp0PemEgoqnXIGUjSpLGSqCEWXDeqN9eQOtzMIYgz3qZr
111,rceRVF4rMjWuP7nkJpG9fDPxMi6PsV3qypXmodbVp7czLdTr
112,Fm9BKkcwYCG3nP5TIIYlgXvQFeHGX2mLw0ZHAbluwZNkG4IG
113,gGbpRzLxUB8IyX7oigdeWaAVGKLRlO1AcosrzSBmOscIFdXD
114,y08fEr1CzuetzuwnTR2u3eLEGUW67i7aTHgM8ZuJqvCQ1X1U
115,GfRWI-L2g9BAI3XCsFJ5NYhp-xFsLy_QX3x8ZANyrH2nR5cV
116,4MS5MIU-anY5DnM67KMLDiG7ro3Vidx0ThpL83zArPcgOVdO
117,fPgGQxpZqRmcKhMswcpMsjka1uNIDz9tL4nGAFiAlvzhcXmJ
118,U-3N18bVey13xdMGGSZLWtWNG9XruOHXw90mcONCEUxeaMZB
119,8FFCISUllJJqnlA1pnCZy_F3neFOQ8NraFDVjm8pBMrYajBd
120,0wR6Vy6KCS5uyFJt8qMsCpY8qSK99vJE-AubYJ1-Hwug_Ngq
121,4lbh9NIXhQgXiBBHvSx9WC_t6pivzeBZab_3SFCbpmJBEy2W
122,pGnCZg_0Ht4bM5NabjILH381d-E2Dvw5kVx3zhBED8cMcSmR
123,mPO-xg6WlZgWwvez9KP3MriyPWaYp2_nQx3K148EwiTWaCP4
124,Dh6OQTH_9oOkaS8n70-1wX58ME2UIbFiuOzGm5fTy5k_ZCeV
125,gT1I_xOOBXtPoO08vfhlQoOmOH2DmOBqS5DdHjDJdi0HBmls
126,2BZMf26HsjVHV_goUbdQFPDPLhA7bMwol7WkqXWaF1WRn500
127,i-efRvemDM482XKBiIOzLx0sBoghLpwcyQO2uz-BmSmAhdk6
128,-HKqzHfO4joaVES60l22A8IMFlIsZGr1cEHLUyIfEyAeLlQJ
129,d8S694bcpM88bxEIK3sVF4NB7lnj9E14izxxAkv_qDjtPeQj
130,RCfcezS8w1gYr5lSHze9IWv6TfsxDeHDwSpJNJ6pxAIU_B1T
131,obgoG4G-u6GQ0N8rIDnY55bPrHFoaL-5Tyk-4Do6dniLxi-W
132,2zBwhjjnCLI9pDCtUdHEToZHhu6UGh0LZh-DVlsxqHjDQImr
133,O4Oi0cbaN2u6MNgzDzURSv4TREZqlUrvBY6BZJ-d_DjjRGEo
134,w6-PjTVOlVju4NPSk8XNhgwifR-GEDGhJJ_1NvcCCU-5DbXj
135,I5AulbzAzYNiWI8NBiMAw5-qAZKURnY4SxYL8pCxDcCLdt2p
136,dKxRHm8AGt_lhfKxysRZdSFd2ymfvLh_72kf59uwhZ4lKZUo
137,RkYc0x8EURJA914Eb94_OopKurCn_PXqP1u3m3qLyxBLAEw6
138,Fn9Q8HXGHlMbjOtWR6drAHW3fEbdcNcK8-5NiDPDfGYycMbJ
139,ODKxPRxv1NtgFuLLFoMuY_ICa4qN7iKkK7tpFWsfzaIovdbj
140,EaZ53w3fpuo9reklClG8eicF52kofuDzM15KhPs7GuY5-MN1
